filename,dataset_type,source,url,start,end,resolution,rows,bytes,complete,gaps
BTCUSDT-perp-aggTrades-2026-09-06.csv,perp_aggTrades_tick,Binance USD-M futures REST via www.binance.com,https://www.binance.com/fapi/v1/aggTrades?symbol=BTCUSDT,2026-09-06T00:00:00.003Z,2026-09-06T23:59:59.613Z,every aggTrade,556858,38147741,yes (full UTC day),
BTCUSDT-spot-aggTrades-2026-09-06.csv,spot_aggTrades_tick,data-api.binance.vision REST,https://data-api.binance.vision/api/v3/aggTrades?symbol=BTCUSDT,2026-09-06T00:00:00.692Z,2026-09-06T07:44:27.094Z,every aggTrade,200000,15899263,PARTIAL - day still in progress at collection time,from 00:00:00Z to collection time only
BTCUSDT-spot-klines5m-2026-09-06.csv,spot_klines_5m,data-api.binance.vision REST,https://data-api.binance.vision/api/v3/klines?symbol=BTCUSDT,2026-09-06T00:00:00.000Z,2026-09-07T00:00:00.000Z,5m bars,289,44283,yes (full UTC day),
predictfun/polymarket_l2/5m_2026_09_02_*.zip (184 files),"polymarket_btc_5m_FULL_L2_orderbook (CROSS-VENUE PROXY, not Predict.fun)",HuggingFace predict-quant/poly-btc-orderbook,https://huggingface.co/datasets/predict-quant/poly-btc-orderbook,2026-09-02T00:00:00Z,2026-09-02T23:59:59Z,"every book update, full bid+ask ladders, per 5-minute market",184 markets,715135809,partial day,104 of 288 five-minute markets absent
predictfun/polymarket_l2/5m_2026_09_03_*.zip (252 files),"polymarket_btc_5m_FULL_L2_orderbook (CROSS-VENUE PROXY, not Predict.fun)",HuggingFace predict-quant/poly-btc-orderbook,https://huggingface.co/datasets/predict-quant/poly-btc-orderbook,2026-09-03T00:00:00Z,2026-09-03T23:59:59Z,"every book update, full bid+ask ladders, per 5-minute market",252 markets,648104217,partial day,36 of 288 five-minute markets absent
predictfun/polymarket_l2/5m_2026_09_04_*.zip (6 files),"polymarket_btc_5m_FULL_L2_orderbook (CROSS-VENUE PROXY, not Predict.fun)",HuggingFace predict-quant/poly-btc-orderbook,https://huggingface.co/datasets/predict-quant/poly-btc-orderbook,2026-09-04T00:00:00Z,2026-09-04T23:59:59Z,"every book update, full bid+ask ladders, per 5-minute market",6 markets,14649840,partial day,282 of 288 five-minute markets absent
ef_arch/polymarket/fiveday/data/trades/trades_2026-08-22.parquet,polymarket_btc_5m_executed_trades (CROSS-VENUE PROXY),Polymarket data-api,https://data-api.polymarket.com/trades?market=<conditionId>,2026-08-21T09:15:12.000Z,2026-08-23T00:01:13.000Z,"every fill (taker side, price, size, 1 s ts)",567478,22028751,yes for markets that traded,
ef_arch/polymarket/fiveday/data/trades/trades_2026-08-24.parquet,polymarket_btc_5m_executed_trades (CROSS-VENUE PROXY),Polymarket data-api,https://data-api.polymarket.com/trades?market=<conditionId>,2026-08-23T08:58:49.000Z,2026-08-25T00:01:06.000Z,"every fill (taker side, price, size, 1 s ts)",592305,22900823,yes for markets that traded,
ef_arch/polymarket/fiveday/data/trades/trades_2026-08-27.parquet,polymarket_btc_5m_executed_trades (CROSS-VENUE PROXY),Polymarket data-api,https://data-api.polymarket.com/trades?market=<conditionId>,2026-08-26T16:01:54.000Z,2026-08-28T00:02:36.000Z,"every fill (taker side, price, size, 1 s ts)",506544,19668493,yes for markets that traded,
ef_arch/polymarket/fiveday/data/trades/trades_2026-08-31.parquet,polymarket_btc_5m_executed_trades (CROSS-VENUE PROXY),Polymarket data-api,https://data-api.polymarket.com/trades?market=<conditionId>,2026-08-30T07:29:36.000Z,2026-08-31T23:12:42.000Z,"every fill (taker side, price, size, 1 s ts)",479682,18518800,yes for markets that traded,
ef_arch/polymarket/fiveday/data/trades/trades_2026-09-01.parquet,polymarket_btc_5m_executed_trades (CROSS-VENUE PROXY),Polymarket data-api,https://data-api.polymarket.com/trades?market=<conditionId>,2026-08-31T04:39:19.000Z,2026-09-02T00:02:33.000Z,"every fill (taker side, price, size, 1 s ts)",526343,20427955,yes for markets that traded,
ef_arch/polymarket/fiveday/data/trades/trades_2026-09-02.parquet,polymarket_btc_5m_executed_trades (CROSS-VENUE PROXY),Polymarket data-api,https://data-api.polymarket.com/trades?market=<conditionId>,2026-09-01T04:01:46.000Z,2026-09-03T00:01:42.000Z,"every fill (taker side, price, size, 1 s ts)",448241,17466159,yes for markets that traded,
ef_arch/polymarket/fiveday/data/trades/trades_2026-09-03.parquet,polymarket_btc_5m_executed_trades (CROSS-VENUE PROXY),Polymarket data-api,https://data-api.polymarket.com/trades?market=<conditionId>,2026-09-02T08:47:00.000Z,2026-09-04T00:01:18.000Z,"every fill (taker side, price, size, 1 s ts)",465092,18107922,yes for markets that traded,
ef_arch/polymarket/fiveday/data/trades/trades_2026-09-04.parquet,polymarket_btc_5m_executed_trades (CROSS-VENUE PROXY),Polymarket data-api,https://data-api.polymarket.com/trades?market=<conditionId>,2026-09-03T11:27:01.000Z,2026-09-05T00:00:39.000Z,"every fill (taker side, price, size, 1 s ts)",500260,19454125,yes for markets that traded,
ef_arch/polymarket/fiveday/data/trades/trades_2026-09-05.parquet,polymarket_btc_5m_executed_trades (CROSS-VENUE PROXY),Polymarket data-api,https://data-api.polymarket.com/trades?market=<conditionId>,2026-09-04T21:50:55.000Z,2026-09-06T00:00:28.000Z,"every fill (taker side, price, size, 1 s ts)",374425,14769835,yes for markets that traded,
ef_arch/polymarket/fiveday/data/trades/trades_2026-09-06.parquet,polymarket_btc_5m_executed_trades (CROSS-VENUE PROXY),Polymarket data-api,https://data-api.polymarket.com/trades?market=<conditionId>,2026-09-05T01:59:27.000Z,2026-09-06T21:25:04.000Z,"every fill (taker side, price, size, 1 s ts)",327842,12983263,yes for markets that traded,
ef_arch/polymarket/fiveday/data/markets/btc5m_markets_2026-08-22.json,polymarket_btc_5m_market_metadata_and_settlement,Polymarket Gamma API,https://gamma-api.polymarket.com/events?slug=btc-updown-5m-<epoch>,2026-08-22T00:00:00Z,2026-08-22T23:59:59Z,1 record per 5-minute market,288,1019419,yes,
ef_arch/polymarket/fiveday/data/markets/btc5m_markets_2026-08-24.json,polymarket_btc_5m_market_metadata_and_settlement,Polymarket Gamma API,https://gamma-api.polymarket.com/events?slug=btc-updown-5m-<epoch>,2026-08-24T00:00:00Z,2026-08-24T23:59:59Z,1 record per 5-minute market,288,1019232,yes,
ef_arch/polymarket/fiveday/data/markets/btc5m_markets_2026-08-27.json,polymarket_btc_5m_market_metadata_and_settlement,Polymarket Gamma API,https://gamma-api.polymarket.com/events?slug=btc-updown-5m-<epoch>,2026-08-27T00:00:00Z,2026-08-27T23:59:59Z,1 record per 5-minute market,288,1018720,yes,
ef_arch/polymarket/fiveday/data/markets/btc5m_markets_2026-08-31.json,polymarket_btc_5m_market_metadata_and_settlement,Polymarket Gamma API,https://gamma-api.polymarket.com/events?slug=btc-updown-5m-<epoch>,2026-08-31T00:00:00Z,2026-08-31T23:59:59Z,1 record per 5-minute market,288,1016346,yes,
ef_arch/polymarket/fiveday/data/markets/btc5m_markets_2026-09-01.json,polymarket_btc_5m_market_metadata_and_settlement,Polymarket Gamma API,https://gamma-api.polymarket.com/events?slug=btc-updown-5m-<epoch>,2026-09-01T00:00:00Z,2026-09-01T23:59:59Z,1 record per 5-minute market,288,1018731,yes,
ef_arch/polymarket/fiveday/data/markets/btc5m_markets_2026-09-02.json,polymarket_btc_5m_market_metadata_and_settlement,Polymarket Gamma API,https://gamma-api.polymarket.com/events?slug=btc-updown-5m-<epoch>,2026-09-02T00:00:00Z,2026-09-02T23:59:59Z,1 record per 5-minute market,288,1018266,yes,
ef_arch/polymarket/fiveday/data/markets/btc5m_markets_2026-09-03.json,polymarket_btc_5m_market_metadata_and_settlement,Polymarket Gamma API,https://gamma-api.polymarket.com/events?slug=btc-updown-5m-<epoch>,2026-09-03T00:00:00Z,2026-09-03T23:59:59Z,1 record per 5-minute market,287,1014807,partial,1 markets missing
ef_arch/polymarket/fiveday/data/markets/btc5m_markets_2026-09-04.json,polymarket_btc_5m_market_metadata_and_settlement,Polymarket Gamma API,https://gamma-api.polymarket.com/events?slug=btc-updown-5m-<epoch>,2026-09-04T00:00:00Z,2026-09-04T23:59:59Z,1 record per 5-minute market,288,1020298,yes,
ef_arch/polymarket/fiveday/data/markets/btc5m_markets_2026-09-05.json,polymarket_btc_5m_market_metadata_and_settlement,Polymarket Gamma API,https://gamma-api.polymarket.com/events?slug=btc-updown-5m-<epoch>,2026-09-05T00:00:00Z,2026-09-05T23:59:59Z,1 record per 5-minute market,288,1082745,yes,
ef_arch/polymarket/fiveday/data/markets/btc5m_markets_2026-09-06.json,polymarket_btc_5m_market_metadata_and_settlement,Polymarket Gamma API,https://gamma-api.polymarket.com/events?slug=btc-updown-5m-<epoch>,2026-09-06T00:00:00Z,2026-09-06T23:59:59Z,1 record per 5-minute market,288,1086362,yes,
depth/l2/BTCUSDT_orderbook_2026-08-31_HH.parquet (24 hourly files),futures_L2_incremental_depth_updates (tier 1: diff depth with update-id chain),CryptoHFTData free tier (Binance USD-M perpetual),https://api.cryptohftdata.com file binance_futures/<date>/<hh>/BTCUSDT_orderbook.parquet,2026-08-31T00:00:00Z,2026-08-31T23:59:59Z,"every book diff; received_time ns, event_time+transaction_time ms, first/final/prev_final update ids, side, price, quantity",148477474,591756310,yes (24/24 hours),
depth/l2/BTCUSDT_orderbook_2026-09-02_HH.parquet (24 hourly files),futures_L2_incremental_depth_updates (tier 1: diff depth with update-id chain),CryptoHFTData free tier (Binance USD-M perpetual),https://api.cryptohftdata.com file binance_futures/<date>/<hh>/BTCUSDT_orderbook.parquet,2026-09-02T00:00:00Z,2026-09-02T23:59:59Z,"every book diff; received_time ns, event_time+transaction_time ms, first/final/prev_final update ids, side, price, quantity",129982399,530684822,yes (24/24 hours),
depth/l2/BTCUSDT_orderbook_2026-09-03_HH.parquet (24 hourly files),futures_L2_incremental_depth_updates (tier 1: diff depth with update-id chain),CryptoHFTData free tier (Binance USD-M perpetual),https://api.cryptohftdata.com file binance_futures/<date>/<hh>/BTCUSDT_orderbook.parquet,2026-09-03T00:00:00Z,2026-09-03T23:59:59Z,"every book diff; received_time ns, event_time+transaction_time ms, first/final/prev_final update ids, side, price, quantity",149166242,607325771,yes (24/24 hours),
depth/l2/BTCUSDT_orderbook_2026-09-04_HH.parquet (24 hourly files),futures_L2_incremental_depth_updates (tier 1: diff depth with update-id chain),CryptoHFTData free tier (Binance USD-M perpetual),https://api.cryptohftdata.com file binance_futures/<date>/<hh>/BTCUSDT_orderbook.parquet,2026-09-04T00:00:00Z,2026-09-04T23:59:59Z,"every book diff; received_time ns, event_time+transaction_time ms, first/final/prev_final update ids, side, price, quantity",122486731,517605166,yes (24/24 hours),
depth/l2/BTCUSDT_orderbook_2026-09-05_HH.parquet (24 hourly files),futures_L2_incremental_depth_updates (tier 1: diff depth with update-id chain),CryptoHFTData free tier (Binance USD-M perpetual),https://api.cryptohftdata.com file binance_futures/<date>/<hh>/BTCUSDT_orderbook.parquet,2026-09-05T00:00:00Z,2026-09-05T23:59:59Z,"every book diff; received_time ns, event_time+transaction_time ms, first/final/prev_final update ids, side, price, quantity",61966829,312705635,yes (24/24 hours),
depth/l2/BTCUSDT_orderbook_2026-09-06_HH.parquet (24 hourly files),futures_L2_incremental_depth_updates (tier 1: diff depth with update-id chain),CryptoHFTData free tier (Binance USD-M perpetual),https://api.cryptohftdata.com file binance_futures/<date>/<hh>/BTCUSDT_orderbook.parquet,2026-09-06T00:00:00Z,2026-09-06T23:59:59Z,"every book diff; received_time ns, event_time+transaction_time ms, first/final/prev_final update ids, side, price, quantity",69365262,338423538,yes (24/24 hours),
depth/depth20/perp_depth20_2026-08-31_HH.parquet (24 hourly files),futures_depth20_ladders_RECONSTRUCTED from the L2 diff feed,derived by reconstruct_depth20.py from the CryptoHFTData L2 rows,local reconstruction; see reconstruct_depth20.py and depth/depth20/validation.json,2026-08-31T00:00:00Z,2026-08-31T23:59:59Z,one 20-level ladder per book event (~28 ms apart),3249764,152556523,yes (24/24 hours),diff-only feed with no snapshot: first 20k events per day carry is_warmup=1; 64.6%% of real trades print inside the touch vs 72.6%% for the Tardis 2026-08-01 control
depth/depth20/perp_depth20_2026-09-02_HH.parquet (24 hourly files),futures_depth20_ladders_RECONSTRUCTED from the L2 diff feed,derived by reconstruct_depth20.py from the CryptoHFTData L2 rows,local reconstruction; see reconstruct_depth20.py and depth/depth20/validation.json,2026-09-02T00:00:00Z,2026-09-02T23:59:59Z,one 20-level ladder per book event (~28 ms apart),3224565,136772272,yes (24/24 hours),diff-only feed with no snapshot: first 20k events per day carry is_warmup=1; 64.6%% of real trades print inside the touch vs 72.6%% for the Tardis 2026-08-01 control
depth/depth20/perp_depth20_2026-09-03_HH.parquet (24 hourly files),futures_depth20_ladders_RECONSTRUCTED from the L2 diff feed,derived by reconstruct_depth20.py from the CryptoHFTData L2 rows,local reconstruction; see reconstruct_depth20.py and depth/depth20/validation.json,2026-09-03T00:00:00Z,2026-09-03T23:59:59Z,one 20-level ladder per book event (~28 ms apart),3224082,157666189,yes (24/24 hours),diff-only feed with no snapshot: first 20k events per day carry is_warmup=1; 64.6%% of real trades print inside the touch vs 72.6%% for the Tardis 2026-08-01 control
depth/depth20/perp_depth20_2026-09-04_HH.parquet (24 hourly files),futures_depth20_ladders_RECONSTRUCTED from the L2 diff feed,derived by reconstruct_depth20.py from the CryptoHFTData L2 rows,local reconstruction; see reconstruct_depth20.py and depth/depth20/validation.json,2026-09-04T00:00:00Z,2026-09-04T23:59:59Z,one 20-level ladder per book event (~28 ms apart),3219171,137547727,yes (24/24 hours),diff-only feed with no snapshot: first 20k events per day carry is_warmup=1; 64.6%% of real trades print inside the touch vs 72.6%% for the Tardis 2026-08-01 control
depth/depth20/perp_depth20_2026-09-05_HH.parquet (24 hourly files),futures_depth20_ladders_RECONSTRUCTED from the L2 diff feed,derived by reconstruct_depth20.py from the CryptoHFTData L2 rows,local reconstruction; see reconstruct_depth20.py and depth/depth20/validation.json,2026-09-05T00:00:00Z,2026-09-05T23:59:59Z,one 20-level ladder per book event (~28 ms apart),3184358,78253087,yes (24/24 hours),diff-only feed with no snapshot: first 20k events per day carry is_warmup=1; 64.6%% of real trades print inside the touch vs 72.6%% for the Tardis 2026-08-01 control
depth/depth20/perp_depth20_2026-09-06_HH.parquet (24 hourly files),futures_depth20_ladders_RECONSTRUCTED from the L2 diff feed,derived by reconstruct_depth20.py from the CryptoHFTData L2 rows,local reconstruction; see reconstruct_depth20.py and depth/depth20/validation.json,2026-09-06T00:00:00Z,2026-09-06T23:59:59Z,one 20-level ladder per book event (~28 ms apart),3189484,85381749,yes (24/24 hours),diff-only feed with no snapshot: first 20k events per day carry is_warmup=1; 64.6%% of real trades print inside the touch vs 72.6%% for the Tardis 2026-08-01 control
predictfun/quotes/poly_quotes_2026-08-31.parquet,"polymarket_btc_5m_quote_history (CROSS-VENUE PROXY, both tokens)",Polymarket CLOB prices-history,https://clob.polymarket.com/prices-history?market=<token>&fidelity=1,2026-08-31T00:00:00Z,2026-08-31T23:59:59Z,"fidelity=1, about one price point per minute per token",2881,38988,"yes (all 288 markets, both tokens)",coarse: ~5 points per 5-minute market; not executable depth
predictfun/quotes/poly_quotes_2026-09-01.parquet,"polymarket_btc_5m_quote_history (CROSS-VENUE PROXY, both tokens)",Polymarket CLOB prices-history,https://clob.polymarket.com/prices-history?market=<token>&fidelity=1,2026-09-01T00:00:00Z,2026-09-01T23:59:59Z,"fidelity=1, about one price point per minute per token",2776,38241,"yes (all 288 markets, both tokens)",coarse: ~5 points per 5-minute market; not executable depth
predictfun/quotes/poly_quotes_2026-09-02.parquet,"polymarket_btc_5m_quote_history (CROSS-VENUE PROXY, both tokens)",Polymarket CLOB prices-history,https://clob.polymarket.com/prices-history?market=<token>&fidelity=1,2026-09-02T00:00:00Z,2026-09-02T23:59:59Z,"fidelity=1, about one price point per minute per token",2880,39120,"yes (all 288 markets, both tokens)",coarse: ~5 points per 5-minute market; not executable depth
predictfun/quotes/poly_quotes_2026-09-03.parquet,"polymarket_btc_5m_quote_history (CROSS-VENUE PROXY, both tokens)",Polymarket CLOB prices-history,https://clob.polymarket.com/prices-history?market=<token>&fidelity=1,2026-09-03T00:00:00Z,2026-09-03T23:59:59Z,"fidelity=1, about one price point per minute per token",2869,39225,"yes (all 288 markets, both tokens)",coarse: ~5 points per 5-minute market; not executable depth
predictfun/quotes/poly_quotes_2026-09-04.parquet,"polymarket_btc_5m_quote_history (CROSS-VENUE PROXY, both tokens)",Polymarket CLOB prices-history,https://clob.polymarket.com/prices-history?market=<token>&fidelity=1,2026-09-04T00:00:00Z,2026-09-04T23:59:59Z,"fidelity=1, about one price point per minute per token",2880,39470,"yes (all 288 markets, both tokens)",coarse: ~5 points per 5-minute market; not executable depth
predictfun/quotes/poly_quotes_2026-09-05.parquet,"polymarket_btc_5m_quote_history (CROSS-VENUE PROXY, both tokens)",Polymarket CLOB prices-history,https://clob.polymarket.com/prices-history?market=<token>&fidelity=1,2026-09-05T00:00:00Z,2026-09-05T23:59:59Z,"fidelity=1, about one price point per minute per token",2880,39383,"yes (all 288 markets, both tokens)",coarse: ~5 points per 5-minute market; not executable depth
predictfun/quotes/poly_quotes_2026-09-06.parquet,"polymarket_btc_5m_quote_history (CROSS-VENUE PROXY, both tokens)",Polymarket CLOB prices-history,https://clob.polymarket.com/prices-history?market=<token>&fidelity=1,2026-09-06T00:00:00Z,2026-09-06T23:59:59Z,"fidelity=1, about one price point per minute per token",2802,39048,"yes (all 288 markets, both tokens)",coarse: ~5 points per 5-minute market; not executable depth
